name,address,city,state,phone
Sweaty Ganesh Yoga,"820 Charnelton St Eugene, OR",Eugene,OR,(541) 349-9642
Everyday People Yoga,"352 West 12th Avenue Eugene, OR",Eugene,OR,(541) 513-0180
Two Birds Yoga Training,"1669 Willamette Street Eugene, OR",Eugene,OR,none
Eugene Yoga,"3575 Donald Street Eugene, OR",Eugene,OR,none
Hot Warrior Yoga,"2734 Shadowview Eugene, OR",Eugene,OR,none
Live Well Yoga Teacher Training,"971 Northwest Spruce Avenue #101 Corvallis, OR",Corvallis,OR,none
Love Everyone Yoga School,"4475 Northwest Westview Place #5 Corvallis, Oregon",Corvallis,Oregon,none
Willamette Valley Power Yoga,"208 SW 5th Ave Albany, OR",Albany,OR,(541) 971-1046
Love Yoga Studio,"630 Northwest Hickory Street Albany, OR",Albany,OR,none
